City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Spanish Town,JM,17.9911,-76.9574,89.22,71,40,19.57,scattered clouds
249,Kenora,CA,49.8167,-94.4337,72.57,78,75,11.5,broken clouds
250,Enshi,CN,30.3,109.4833,75.2,96,100,0.74,overcast clouds
251,Taoudenni,ML,22.6783,-3.9836,105.08,20,48,20.11,scattered clouds
252,Ostrovnoy,RU,68.0531,39.5131,55.22,85,92,7.07,overcast clouds
253,Kokkola,FI,63.8385,23.1307,58.93,89,0,2.3,clear sky
254,Bryan,US,30.6744,-96.37,93.47,53,75,6.91,broken clouds
255,Sitka,US,57.0531,-135.33,57.09,88,100,4.61,overcast clouds
256,Pasni,PK,25.2631,63.471,79.57,83,0,14.14,clear sky
257,Augusto Correa,BR,-1.0217,-46.635,85.39,62,67,8.61,broken clouds
258,Griffith,US,41.5284,-87.4237,90.03,62,0,14.97,clear sky
259,Chhatapur,IN,26.2167,87.0167,77.74,91,100,8.9,overcast clouds
260,Dawei,MM,14.0833,98.2,77.61,92,71,0.67,broken clouds
261,Pauini,BR,-7.7136,-66.9764,95.45,34,88,4.61,overcast clouds
262,Mexticacan,MX,21.2654,-102.7798,75.58,56,85,5.53,overcast clouds
263,Namatanai,PG,-3.6667,152.4333,79.0,83,60,11.32,broken clouds
264,Isabela,PH,6.7085,121.9711,79.18,84,7,4.43,clear sky
265,Port Lincoln,AU,-34.7333,135.8667,55.09,80,92,12.93,overcast clouds
266,Tevriz,RU,57.509,72.4042,53.47,79,4,5.91,clear sky
267,Punta Alta,AR,-38.8759,-62.0736,55.9,30,0,9.8,clear sky
268,Diamantino,BR,-14.4086,-56.4461,101.28,15,6,9.82,clear sky
269,Chuy,UY,-33.6971,-53.4616,51.6,48,71,14.2,broken clouds
270,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,57,0,12.66,clear sky
271,Leningradskiy,RU,69.3833,178.4167,36.95,92,84,1.1,broken clouds
272,Riosucio,CO,5.4216,-75.7032,71.08,70,93,0.89,light rain
273,Pimentel,PE,-6.8367,-79.9342,68.29,64,40,9.22,scattered clouds
274,San Pancrazio Salentino,IT,40.4191,17.8305,84.22,55,72,3.13,broken clouds
275,Manta,EC,-0.95,-80.7333,78.58,69,40,11.5,scattered clouds
276,Ancud,CL,-41.8697,-73.8203,50.13,62,31,5.03,scattered clouds
277,Phangnga,TH,8.4509,98.5298,77.04,91,71,2.15,broken clouds
278,Waipawa,NZ,-41.4122,175.5153,42.37,80,100,6.4,overcast clouds
279,Coihaique,CL,-45.5752,-72.0662,48.81,49,0,5.75,clear sky
280,Saldanha,ZA,-33.0117,17.9442,53.65,62,17,9.55,few clouds
281,Baykit,RU,61.67,96.37,39.58,92,96,6.29,light rain
282,Barra Do Garcas,BR,-15.89,-52.2567,97.38,21,0,2.3,clear sky
